quadrangle
//Number_of_Node
170
//Number_of_Element
144
//Number_of_Region
2
//Factor
1000.0
12,11,1,2,
13,12,2,3,
14,13,3,4,
15,14,4,5,
16,15,5,6,
17,16,6,7,
18,17,7,8,
19,18,8,9,
20,19,9,10,
22,21,11,12,
23,22,12,13,
24,23,13,14,
25,24,14,15,
26,25,15,16,
27,26,16,17,
28,27,17,18,
29,28,18,19,
30,29,19,20,
32,31,21,22,
33,32,22,23,
34,33,23,24,
35,34,24,25,
36,35,25,26,
37,36,26,27,
38,37,27,28,
39,38,28,29,
40,39,29,30,
42,41,31,32,
43,42,32,33,
44,43,33,34,
45,44,34,35,
46,45,35,36,
47,46,36,37,
48,47,37,38,
49,48,38,39,
50,49,39,40,
52,51,41,42,
53,52,42,43,
54,53,43,44,
55,54,44,45,
56,55,45,46,
57,56,46,47,
58,57,47,48,
59,58,48,49,
60,59,49,50,
62,61,51,52,
63,62,52,53,
64,63,53,54,
65,64,54,55,
66,65,55,56,
67,66,56,57,
68,67,57,58,
69,68,58,59,
70,69,59,60,
72,71,61,62,
73,72,62,63,
74,73,63,64,
75,74,64,65,
76,75,65,66,
77,76,66,67,
78,77,67,68,
79,78,68,69,
80,79,69,70,
82,81,71,72,
83,82,72,73,
84,83,73,74,
85,84,74,75,
86,85,75,76,
87,86,76,77,
88,87,77,78,
89,88,78,79,
90,89,79,80,
92,91,81,82,
93,92,82,83,
94,93,83,84,
95,94,84,85,
96,95,85,86,
97,96,86,87,
98,97,87,88,
99,98,88,89,
100,99,89,90,
102,101,91,92,
103,102,92,93,
104,103,93,94,
105,104,94,95,
106,105,95,96,
107,106,96,97,
108,107,97,98,
109,108,98,99,
110,109,99,100,
112,111,101,102,
113,112,102,103,
114,113,103,104,
115,114,104,105,
116,115,105,106,
117,116,106,107,
118,117,107,108,
119,118,108,109,
120,119,109,110,
122,121,111,112,
123,122,112,113,
124,123,113,114,
125,124,114,115,
126,125,115,116,
127,126,116,117,
128,127,117,118,
129,128,118,119,
130,129,119,120,
132,131,121,122,
133,132,122,123,
134,133,123,124,
135,134,124,125,
136,135,125,126,
137,136,126,127,
138,137,127,128,
139,138,128,129,
140,139,129,130,
142,141,131,132,
143,142,132,133,
144,143,133,134,
145,144,134,135,
146,145,135,136,
147,146,136,137,
148,147,137,138,
149,148,138,139,
150,149,139,140,
152,151,141,142,
153,152,142,143,
154,153,143,144,
155,154,144,145,
156,155,145,146,
157,156,146,147,
158,157,147,148,
159,158,148,149,
160,159,149,150,
162,161,151,152,
163,162,152,153,
164,163,153,154,
